Deaths,Moves,Wins,Gamma,Time
155,200000,0,1.66,2.400949478149414
149,200000,0,1.67,2.725618600845337
142,200000,0,1.68,2.5272042751312256
131,200000,0,1.69,2.420532464981079
123,200000,0,1.7,2.0649466514587402
144,200000,0,1.71,2.1594014167785645
152,200000,0,1.72,2.4550282955169678
146,200000,0,1.73,2.6629559993743896
123,200000,0,1.74,2.3321728706359863
144,200000,0,1.75,2.5976920127868652
141,200000,0,1.76,2.1711864471435547
135,200000,0,1.77,2.2658958435058594
128,200000,0,1.78,2.539985418319702
164,200000,0,1.79,2.080388069152832
105,200000,0,1.8,2.0592844486236572
144,200000,0,1.81,2.5289578437805176
165,200000,0,1.82,2.658487558364868
110,200000,0,1.83,2.4767518043518066
138,200000,0,1.84,2.085840940475464
132,200000,0,1.85,2.1658051013946533
171,200000,0,1.86,2.298755645751953
167,200000,0,1.87,2.1002938747406006
113,200000,0,1.88,2.1920149326324463
175,200000,0,1.89,2.2800979614257812
193,200000,0,1.9,2.196939706802368
182,200000,0,1.91,2.2054505348205566
191,200000,0,1.92,2.068678140640259
125,200000,0,1.93,2.004166603088379
186,200000,0,1.94,1.8643279075622559
152,200000,0,1.95,1.8131933212280273
168,200000,0,1.96,1.8066837787628174
165,200000,0,1.97,1.763068675994873
107,200000,0,1.98,1.7154605388641357
182,200000,0,1.99,1.691352128982544
140,200000,0,2.0,1.6612799167633057
45,200000,0,0.0,1.9722175598144531
91,200000,0,0.01,2.0709927082061768
88,200000,0,0.02,2.6892142295837402
89,200000,0,0.03,2.8199939727783203
91,200000,0,0.04,2.121967077255249
103,200000,0,0.05,2.204625129699707
95,200000,0,0.06,2.330061674118042
98,200000,0,0.07,2.2045538425445557
98,200000,0,0.08,2.8586628437042236
113,200000,1,0.09,2.3434696197509766
110,200000,1,0.1,2.33171010017395
113,200000,2,0.11,2.5774083137512207
122,200000,7,0.12,2.329709529876709
122,200000,7,0.13,2.411965847015381
122,200000,75,0.14,2.916191816329956
122,200000,29,0.15,2.4464333057403564
122,200000,85,0.16,2.873824119567871
122,200000,58,0.17,2.806178569793701
122,200000,183,0.18,2.758514642715454
122,34305,1000,0.19,1.379883050918579
122,34376,1000,0.2,1.2926750183105469
122,34678,1000,0.21,1.2839665412902832
122,34406,1000,0.22,2.322871685028076
122,34359,1000,0.23,2.4131228923797607
122,34170,1000,0.24,2.5706608295440674
122,34625,1000,0.25,3.1930935382843018
122,33833,1000,0.26,3.3863866329193115
122,34089,1000,0.27,3.5955898761749268
122,34671,1000,0.28,3.7218384742736816
122,34425,1000,0.29,3.739093065261841
122,34402,1000,0.3,3.8631808757781982
122,34456,1000,0.31,3.860438585281372
122,34382,1000,0.32,3.8653416633605957
122,34257,1000,0.33,3.8578052520751953
122,34393,1000,0.34,3.920288324356079
122,34177,1000,0.35,3.9508936405181885
122,34571,1000,0.36,4.004739284515381
122,34141,1000,0.37,4.007885932922363
122,34426,1000,0.38,4.049999713897705
122,34224,1000,0.39,4.081928253173828
122,34089,1000,0.4,4.042419910430908
122,34682,1000,0.41,4.093268156051636
122,34115,1000,0.42,4.064185380935669
122,34102,1000,0.43,4.054231882095337
122,34330,1000,0.44,4.026773452758789
122,34671,1000,0.45,4.047886371612549
122,34399,1000,0.46,4.052273273468018
122,33959,1000,0.47,4.032657623291016
122,34130,1000,0.48,4.061642408370972
122,34448,1000,0.49,4.027137279510498
122,34008,1000,0.5,4.0165605545043945
122,33843,1000,0.51,4.01875901222229
122,34486,1000,0.52,4.015453577041626
122,34395,1000,0.53,3.9945027828216553
122,34748,1000,0.54,4.048818111419678
122,34277,1000,0.55,4.009222030639648
122,34495,1000,0.56,4.0477142333984375
